CHSI_County_Name;CHSI_State_Name;CHSI_State_Abbr;Strata_ID_Number;Strata_Determining_Factors;Number_Counties;Population_Size;Population_Density;Poverty;Age_19_Under;Age_19_64;Age_65_84;Age_85_and_Over;White;Black;Native_American;Asian;Hispanic
Lauderdale;Alabama;AL;21;frontier status, population size, poverty, age;44;87691;131;15.6;22.9;61.2;14.3;1.7;88.9;9.7;0.3;0.4;1.2
Lawrence;Alabama;AL;32;frontier status, population size, poverty, age;37;34605;50;14.4;24.6;62.7;11.5;1.2;79.5;12.1;5.4;0.1;1.4
Lee;Alabama;AL;22;frontier status, population size, poverty, age;28;123254;202;15.1;25.1;66.5;7.6;0.9;74.1;23;0.2;1.8;1.6
Limestone;Alabama;AL;19;frontier status, population size, poverty, age;37;70469;124;11.8;24.1;64.2;10.5;1.1;85.1;13.2;0.5;0.5;3.3
Lowndes;Alabama;AL;66;frontier status, population size, poverty, age, population density;37;13076;18;23.3;29;58.2;11.3;1.5;27.9;71.7;0.1;0.1;0.8
Macon;Alabama;AL;44;frontier status, population size, poverty, age;33;22810;37;25.8;27;58.6;12.4;2;15.7;82.8;0.1;0.9;1
Madison;Alabama;AL;4;frontier status, population size, poverty;25;298192;370;10.9;25.5;62.5;10.9;1.1;71.7;23.5;0.8;2.1;2.2
Marengo;Alabama;AL;67;frontier status, population size, poverty, age, population density;31;21879;22;20.1;27.8;57.9;12.5;1.8;47.1;52.2;0.1;0.3;1.8
Marion;Alabama;AL;49;frontier status, population size, poverty, age, population density;35;30154;41;16.8;22.4;60.7;14.8;2.2;95;3.9;0.3;0.2;1.5
Marshall;Alabama;AL;22;frontier status, population size, poverty, age;28;85634;151;15.2;25.7;60.4;12.5;1.4;96.6;1.6;0.5;0.4;8.5
Mobile;Alabama;AL;5;frontier status, population size, poverty;25;401427;326;18.5;27.6;60.3;10.8;1.3;62.2;34.5;0.7;1.6;1.3
Monroe;Alabama;AL;67;frontier status, population size, poverty, age, population density;31;23733;23;17.7;27.4;58.4;12.3;1.9;57;41;1;0.3;0.8
Montgomery;Alabama;AL;7;frontier status, population size, poverty;33;221619;281;18;27.3;60.9;10.3;1.5;45.1;52.5;0.2;1.2;1.4
Morgan;Alabama;AL;14;frontier status, population size, poverty, age;40;113740;195;13.2;24.8;62;11.8;1.4;85.7;11.8;0.7;0.7;4.6
Perry;Alabama;AL;75;frontier status, population size, poverty, age, population density;37;11371;16;28.6;31.6;54.2;12.3;1.9;30;69.6;0.1;0.1;0.9
Pickens;Alabama;AL;76;frontier status, population size, poverty, age, population density;38;20178;23;19.3;26.3;57.6;14.1;2;57.2;42.4;0.1;0.1;0.8
Pike;Alabama;AL;35;frontier status, population size, poverty, age;27;29639;44;20.3;25.4;62;11.4;1.2;60.2;36.8;0.6;1;1.6
Randolph;Alabama;AL;72;frontier status, population size, poverty, age, population density;32;22717;39;15.7;25.1;58.5;14.4;2;76.8;22.1;0.3;0.4;1.3
Russell;Alabama;AL;8;frontier status, population size, poverty;54;49326;77;18.6;26.3;60.1;12.2;1.4;56.1;42.1;0.3;0.6;2.1
St. Clair;Alabama;AL;22;frontier status, population size, poverty, age;28;72330;114;13.1;24.2;63.7;11;1.1;90.3;8.2;0.4;0.3;1.3
Shelby;Alabama;AL;11;frontier status, population size, poverty, age;44;171465;216;6.9;26.2;65.1;8;0.7;88.2;9.4;0.3;1.4;3.1
Sumter;Alabama;AL;66;frontier status, population size, poverty, age, population density;37;13819;15;26.4;28.2;57.6;11.5;2.7;24.9;74.7;0.1;0.1;1.4
Talladega;Alabama;AL;8;frontier status, population size, poverty;54;80457;109;16.8;24.9;61.7;12;1.4;67.5;31.4;0.2;0.4;1.1
Tallapoosa;Alabama;AL;49;frontier status, population size, poverty, age, population density;35;40717;57;16;23.6;59.8;14.6;2;72.9;26.3;0.2;0.2;0.9
Tuscaloosa;Alabama;AL;6;frontier status, population size, poverty;53;168908;128;16.5;25;63.9;9.9;1.2;67.7;30.1;0.2;1.1;1.6
Walker;Alabama;AL;24;frontier status, population size, poverty, age;35;70117;88;14.8;23.6;61;13.7;1.6;92.5;6.4;0.3;0.2;1.2
Washington;Alabama;AL;66;frontier status, population size, poverty, age, population density;37;17773;16;16.9;27.2;59.4;12;1.3;66;26.4;6.7;0.1;0.9
Wilcox;Alabama;AL;75;frontier status, population size, poverty, age, population density;37;12937;15;27.9;30.6;56.4;11;2;27.1;72.6;0.1;0.1;0.8
Winston;Alabama;AL;41;frontier status, population size, poverty, age;47;24498;40;16.9;22.8;62.2;13.7;1.4;98.3;0.6;0.4;0.1;1.9
Aleutians East;Alaska;AK;80;frontier status, population size, poverty, age;41;2713;0;11.7;13.4;83.2;3;0.4;33.4;1.9;29.6;33.5;14.8
Aleutians West;Alaska;AK;78;frontier status, population size, poverty, age;43;5382;1;7.3;14;83.3;2.6;0.1;48.7;3.8;18.7;26.8;12
Anchorage;Alaska;AK;9;frontier status, population size, poverty, age;24;275043;162;8.7;29.9;63.7;5.8;0.6;72;6.2;8.5;7.7;6.4
Bethel;Alaska;AK;86;frontier status, population size, poverty, age;38;17127;0;20.9;41.2;53.8;4.6;0.4;13.4;0.6;82;1.3;1.1
Bristol Bay;Alaska;AK;78;frontier status, population size, poverty, age;43;1112;2;8.1;26.5;67.6;5.6;0.4;57.6;0.6;41.4;0.3;1
Denali;Alaska;AK;78;frontier status, population size, poverty, age;43;1881;0;6.6;22.4;73;4.4;0.3;89.6;1.3;4.7;2.3;2.8
Dillingham;Alaska;AK;83;frontier status, population size, poverty, age;29;4926;0;18.1;36.8;56.6;6.1;0.5;23.5;0.5;71.3;0.5;2.5
Fairbanks North Star;Alaska;AK;17;frontier status, population size, poverty, age;32;87560;12;7.8;31.2;63.3;4.9;0.5;79.1;5.3;7.8;2.6;5.2
Haines;Alaska;AK;80;frontier status, population size, poverty, age;41;2272;1;11.4;21.3;67;10.3;1.5;87.5;0.3;9.6;0.7;1.4
Juneau;Alaska;AK;47;frontier status, population size, poverty, age, population density;34;30987;11;7.3;26.7;66.2;6.3;0.8;75.3;1.1;12.2;5.6;3.6
Kenai Peninsula;Alaska;AK;77;frontier status, population size;15;51960;3;9.9;27.4;63.6;8.3;0.6;87.5;0.6;7.7;1.3;2.7
Ketchikan Gateway;Alaska;AK;37;frontier status, population size, poverty, age;30;13262;11;8.1;27.5;63.8;7.7;1;74.1;1;15.8;5.3;2.9
Kodiak Island;Alaska;AK;78;frontier status, population size, poverty, age;43;13051;2;8.7;31.5;62.8;5.2;0.5;62.1;1.2;15.7;17.5;6.7
Lake and Peninsula;Alaska;AK;83;frontier status, population size, poverty, age;29;1570;0;16.6;34.1;59;6.4;0.4;23.4;0;71.5;0.8;1.3
Matanuska-Susitna;Alaska;AK;77;frontier status, population size;15;76006;3;10.5;29.1;64.2;6.2;0.5;88.3;1.1;5.7;1;2.8
Nome;Alaska;AK;83;frontier status, population size, poverty, age;29;9328;0;17.4;37.5;56.6;5.2;0.7;20;0.5;75.7;1.1;1.1
North Slope;Alaska;AK;80;frontier status, population size, poverty, age;41;6924;0;11.6;39.5;55.4;4.5;0.6;15.7;1.1;72;7.1;3.9
Northwest Arctic;Alaska;AK;83;frontier status, population size, poverty, age;29;7621;0;17;41.7;53.1;5;0.2;13.1;0.1;83.6;1;5.6
Prince of Wales-Outer Ketchikan;Alaska;AK;80;frontier status, population size, poverty, age;41;5660;1;13.8;26.8;64.9;7.9;0.4;53.5;0.2;40.9;0.4;2.4
Sitka;Alaska;AK;78;frontier status, population size, poverty, age;43;8986;3;7.7;27;62.8;9.5;0.7;68.4;0.4;20.1;5.6;3.9
Skagway-Hoonah-Angoon;Alaska;AK;80;frontier status, population size, poverty, age;41;3126;0;11.6;22.8;68;8.3;0.9;61.2;0.2;35.6;0.1;4.1
Southeast Fairbanks;Alaska;AK;80;frontier status, population size, poverty, age;41;6614;0;15.7;30.8;61.5;7.2;0.5;81.8;2.8;11.5;0.8;3.3
Valdez-Cordova;Alaska;AK;78;frontier status, population size, poverty, age;43;9899;0;9.1;27.4;65.8;6.2;0.6;76.8;0.5;14.6;4.2;2.4
Wade Hampton;Alaska;AK;88;frontier status, population size, poverty, age;23;7541;0;25.1;47.2;47.6;4.7;0.4;4.7;0;93.4;0.1;0.4
Wrangell-Petersburg;Alaska;AK;78;frontier status, population size, poverty, age;43;6245;1;8.9;27;62.2;9.5;1.3;75.7;0.2;16.2;2.2;2.7
Yakutat;Alaska;AK;78;frontier status, population size, poverty, age;43;722;0;10.8;22.1;70.2;7.2;0.4;57.8;0.1;40.6;0.7;0.8
Yukon-Koyukuk;Alaska;AK;83;frontier status, population size, poverty, age;29;6143;0;17.5;32.3;59.4;7.5;0.8;26.9;0.1;69.9;0.5;1.3
Apache;Arizona;AZ;77;frontier status, population size;15;69343;6;27.5;36.8;53.5;8.8;0.9;22.2;0.6;76.1;0.3;4.6
Cochise;Arizona;AZ;7;frontier status, population size, poverty;33;126106;20;16.3;27.1;56.9;14.4;1.6;90.1;4.4;1.3;2.1;30.8
Coconino;Arizona;AZ;77;frontier status, population size;15;123866;7;15.6;29;63.3;7;0.7;66.1;1.3;29.9;1.2;11.6
Gila;Arizona;AZ;36;frontier status, population size, poverty, age;23;51663;11;17.1;25.4;53.7;18.7;2.2;83.5;0.7;14.6;0.6;16.3
Graham;Arizona;AZ;51;frontier status, population size, poverty, age, population density;33;33073;7;20.5;30.1;57.2;11.1;1.6;80.4;2.2;16.3;0.7;27.8
Greenlee;Arizona;AZ;78;frontier status, population size, poverty, age;43;7521;4;11.2;30;58.8;9.9;1.3;96.2;0.8;1.9;0.5;46.4
La Paz;Arizona;AZ;88;frontier status, population size, poverty, age;23;20238;4;17.2;20.6;50.4;26;2.9;84.2;1;13.2;0.6;22.8
Maricopa;Arizona;AZ;1;frontier status, population size;34;3635528;395;12.8;28.6;60.3;9.7;1.4;89;4.3;2.2;2.9;28.7
Mohave;Arizona;AZ;6;frontier status, population size, poverty;53;187200;14;14.9;23.3;55.9;18.8;2;94.2;1;2.5;1.1;12.8
Navajo;Arizona;AZ;8;frontier status, population size, poverty;54;108432;11;21.4;33.9;55.1;10.1;0.9;48.5;1.1;48.8;0.4;8.7
Pima;Arizona;AZ;3;frontier status, population size, poverty;39;924786;101;14.3;26;59.6;12.5;1.9;88.7;3.4;3.6;2.6;31.6
Pinal;Arizona;AZ;7;frontier status, population size, poverty;33;229549;43;14.6;26.1;59.4;13.1;1.4;86.9;3.5;7.4;1.1;29.6
Santa Cruz;Arizona;AZ;51;frontier status, population size, poverty, age, population density;33;42009;34;19.2;33.4;55;10.4;1.2;97.7;0.6;0.8;0.8;80.4
Yavapai;Arizona;AZ;16;frontier status, population size, poverty, age;27;198701;24;12;21.1;56.9;19.5;2.5;95.6;0.7;1.7;0.8;11.5
Yuma;Arizona;AZ;7;frontier status, population size, poverty;33;181277;33;18;30.8;51.8;15.6;1.8;93;2.7;1.9;1.4;54.6
Arkansas;Arkansas;AR;75;frontier status, population size, poverty, age, population density;37;20073;20;17.3;24.9;59.5;13.8;1.8;74.6;24.5;0.1;0.4;1.1
Ashley;Arkansas;AR;68;frontier status, population size, poverty, age, population density;34;23178;25;17.8;25.9;60.2;12;1.9;71.3;27.8;0.1;0.3;3.8
Baxter;Arkansas;AR;50;frontier status, population size, poverty, age, population density;27;40330;73;13.7;18.8;54.8;22.8;3.6;98;0.3;0.5;0.4;1
Benton;Arkansas;AR;13;frontier status, population size, poverty, age;16;186938;221;10;27.2;60.2;11.1;1.5;93.8;1.1;1.6;1.9;12.6
Boone;Arkansas;AR;49;frontier status, population size, poverty, age, population density;35;35793;61;15.3;23.5;59.4;14.9;2.1;97.7;0.3;0.7;0.4;1.5
Bradley;Arkansas;AR;70;frontier status, population size, poverty, age, population density;37;12192;19;20.3;23.4;59.5;14.9;2.2;71.2;28.2;0.3;0.1;10.2
Calhoun;Arkansas;AR;43;frontier status, population size, poverty, age;57;5589;9;14.5;23.5;61.1;13;2.4;76.6;23.2;0;0;2.1
Carroll;Arkansas;AR;64;frontier status, population size, poverty, age, population density;41;26999;43;15.4;24;60.1;14.2;1.7;97.3;0.3;0.7;0.7;13.5
Chicot;Arkansas;AR;67;frontier status, population size, poverty, age, population density;31;13027;20;27.9;26;58.3;13.6;2;45.2;53.9;0;0.6;4
Clark;Arkansas;AR;71;frontier status, population size, poverty, age, population density;33;22916;26;17.2;24.4;61.3;12.1;2.1;75.3;22.3;0.5;1.1;3.9
Clay;Arkansas;AR;63;frontier status, population size, poverty, age, population density;32;16578;26;17.1;23;57.9;16.3;2.7;98.2;0.3;0.7;0.2;1
Cleburne;Arkansas;AR;64;frontier status, population size, poverty, age, population density;41;25391;46;14.4;20.5;57.8;19.4;2.2;98.2;0.5;0.3;0.2;1.7
Cleveland;Arkansas;AR;41;frontier status, population size, poverty, age;47;8903;15;14.2;24.7;61;12.6;1.7;85.7;13.5;0.4;0.1;1.8
Columbia;Arkansas;AR;35;frontier status, population size, poverty, age;27;24695;32;20.3;25.3;58.8;13.5;2.4;62.3;36.6;0.3;0.4;1.6
Conway;Arkansas;AR;43;frontier status, population size, poverty, age;57;20739;37;16.5;25.1;59.3;13.5;2.1;85.5;12.5;0.5;0.5;2.4
Craighead;Arkansas;AR;22;frontier status, population size, poverty, age;28;86735;122;15.9;25.8;62.5;10.3;1.4;88.3;9.7;0.4;0.7;3.1
Crawford;Arkansas;AR;33;frontier status, population size, poverty, age;41;57630;97;14.2;27.1;61;10.8;1.1;93.4;1.1;2.1;1.4;4.6
Crittenden;Arkansas;AR;53;frontier status, population size, poverty, age, population density;27;51882;85;22.5;31.2;59;8.7;1.1;49.2;49.4;0.3;0.6;1.9
Cross;Arkansas;AR;68;frontier status, population size, poverty, age, population density;34;19237;31;19.6;26.8;60;11.6;1.5;75.5;23.4;0.3;0.4;1.1
Dallas;Arkansas;AR;74;frontier status, population size, poverty, age, population density;30;8524;13;18.7;25.2;58.3;13.9;2.6;58.2;40.7;0.3;0.4;2.4
Desha;Arkansas;AR;67;frontier status, population size, poverty, age, population density;31;14358;19;23.2;28.2;57.5;12.1;2.2;52.1;46.8;0.3;0.4;3.8
Drew;Arkansas;AR;67;frontier status, population size, poverty, age, population density;31;18693;23;18.4;25.6;61.3;11.5;1.6;71.2;27.5;0.2;0.5;2.6
Faulkner;Arkansas;AR;19;frontier status, population size, poverty, age;37;97147;150;12.8;27;63.4;8.5;1.1;88.3;9.3;0.5;0.8;2.5
Franklin;Arkansas;AR;43;frontier status, population size, poverty, age;57;18218;30;16.4;24.6;59.2;13.9;2.3;96.7;0.7;0.8;0.9;2
Fulton;Arkansas;AR;70;frontier status, population size, poverty, age, population density;37;11934;19;18.2;21.3;57.2;18.7;2.7;98.1;0.3;0.6;0.2;0.7
Garland;Arkansas;AR;24;frontier status, population size, poverty, age;35;93551;138;16;21.9;57.4;18;2.7;89.3;7.9;0.7;0.6;3.3
Grant;Arkansas;AR;39;frontier status, population size, poverty, age;51;17348;27;10.9;23.8;63.6;11.2;1.5;95.8;3.1;0.5;0.2;1.7
Greene;Arkansas;AR;50;frontier status, population size, poverty, age, population density;27;39401;68;15.4;25.3;60.9;12.2;1.6;97.8;0.3;0.4;0.2;1.5
Hempstead;Arkansas;AR;76;frontier status, population size, poverty, age, population density;38;23383;32;19;27;59.7;11.4;1.9;68.8;29.1;0.4;0.5;12
Hot Spring;Arkansas;AR;49;frontier status, population size, poverty, age, population density;35;31264;51;15;24.3;60.4;13.2;2.1;87.9;10.2;0.5;0.3;1.7
Howard;Arkansas;AR;43;frontier status, population size, poverty, age;57;14552;25;15.7;26.7;59.2;12;2.2;77.8;20.7;0.5;0.5;8.8
Independence;Arkansas;AR;32;frontier status, population size, poverty, age;37;34737;45;14.9;24.3;60.9;13.2;1.6;95.5;2.1;0.4;1;2.5
Izard;Arkansas;AR;71;frontier status, population size, poverty, age, population density;33;13430;23;18.1;20.8;58.3;18.3;2.6;96.8;1.5;0.8;0.2;1.1
Jackson;Arkansas;AR;72;frontier status, population size, poverty, age, population density;32;17601;28;20.6;23.4;61.9;12.7;1.9;79.7;19.4;0.3;0.2;1.4
Jefferson;Arkansas;AR;8;frontier status, population size, poverty;54;81700;92;20.9;26.9;60.3;11;1.8;46.2;51.9;0.3;0.9;1.2
Johnson;Arkansas;AR;64;frontier status, population size, poverty, age, population density;41;24042;36;17.1;25.9;60.2;11.9;2;95.7;1.8;0.7;0.7;9.3
Lafayette;Arkansas;AR;75;frontier status, population size, poverty, age, population density;37;8027;15;20.5;24.2;58.5;14.2;3.1;63.1;36.1;0.4;0.3;1.6
Lawrence;Arkansas;AR;72;frontier status, population size, poverty, age, population density;32;17153;29;19;24.1;58.4;14.7;2.7;97.8;0.7;0.6;0.1;0.9
Lee;Arkansas;AR;67;frontier status, population size, poverty, age, population density;31;11545;19;29.1;24.7;62;11.3;2;42.2;57.2;0.2;0.4;2.6
Lincoln;Arkansas;AR;44;frontier status, population size, poverty, age;33;14262;25;23.4;21.3;66.6;10.3;1.8;66.1;32.9;0.4;0.1;1.8
Little River;Arkansas;AR;42;frontier status, population size, poverty, age;53;13227;25;15.4;24.2;59.7;14.1;2;76;21.2;1.2;0.2;2
Logan;Arkansas;AR;76;frontier status, population size, poverty, age, population density;38;22944;32;16.4;24.9;59;14;2.1;95.7;1.3;0.7;0.8;1.6
Lonoke;Arkansas;AR;29;frontier status, population size, poverty, age;37;60658;79;10.8;26.8;62.9;9.3;1.1;91.5;6.5;0.5;0.6;2.3
Madison;Arkansas;AR;43;frontier status, population size, poverty, age;57;14962;18;17;24.8;60.9;12.6;1.8;97.2;0.2;1.2;0.3;3.9
Marion;Arkansas;AR;71;frontier status, population size, poverty, age, population density;33;16735;28;17.1;20;58.6;18.9;2.4;97.7;0.3;0.7;0.2;1
Miller;Arkansas;AR;52;frontier status, population size, poverty, age, population density;40;43162;69;17.8;25.9;60.4;11.8;1.9;74.5;23.4;0.7;0.4;1.9
Mississippi;Arkansas;AR;8;frontier status, population size, poverty;54;47911;53;22.3;30.2;57.5;10.8;1.6;63.9;34.1;0.3;0.4;2.7
Monroe;Arkansas;AR;75;frontier status, population size, poverty, age, population density;37;9302;15;23.2;26.6;55.7;15;2.6;59.3;39.3;0.2;0.3;1.7
Montgomery;Arkansas;AR;70;frontier status, population size, poverty, age, population density;37;9274;12;17.3;22.4;58.1;17.3;2.3;97.1;0.6;0.9;0.4;3.7
Nevada;Arkansas;AR;75;frontier status, population size, poverty, age, population density;37;9550;15;19.3;24.9;59.1;13.5;2.5;66.6;32.7;0.4;0.1;2.2
Newton;Arkansas;AR;74;frontier status, population size, poverty, age, population density;30;8452;10;19.9;22.6;61.3;14.1;2.1;98.2;0.2;0.5;0.2;1.2
Ouachita;Arkansas;AR;36;frontier status, population size, poverty, age;23;27102;37;18.6;25;58.5;14;2.4;58.6;40.2;0.2;0.4;1.1
Perry;Arkansas;AR;62;frontier status, population size, poverty, age, population density;32;10468;19;14.8;24.2;60.7;13.4;1.8;96.3;2;0.9;0.2;1.3
Phillips;Arkansas;AR;51;frontier status, population size, poverty, age, population density;33;24107;35;28.4;32.4;53.5;12.4;1.7;37.3;61.4;0.2;0.5;1.5
Pike;Arkansas;AR;62;frontier status, population size, poverty, age, population density;32;11038;18;15.6;24.3;58;15.3;2.4;94.2;3.9;0.8;0.3;4.9
Poinsett;Arkansas;AR;76;frontier status, population size, poverty, age, population density;38;25349;33;20.5;26.3;59.6;12.6;1.5;91.8;7.4;0.2;0.2;1.8
Polk;Arkansas;AR;71;frontier status, population size, poverty, age, population density;33;20176;23;19.1;25;57.2;15.6;2.3;96.5;0.3;1.5;0.3;3.8
Pope;Arkansas;AR;23;frontier status, population size, poverty, age;37;56580;70;16.5;26.1;60.8;11.4;1.6;94.4;3;0.6;0.8;3.8
Prairie;Arkansas;AR;61;frontier status, population size, poverty, age, population density;32;9113;14;15.4;22.4;60;15.1;2.5;84.8;14.5;0.4;0.2;0.9
Pulaski;Arkansas;AR;5;frontier status, population size, poverty;25;366463;475;15.1;26.3;61.9;10.3;1.5;62.5;34;0.4;1.6;3.1
Randolph;Arkansas;AR;72;frontier status, population size, poverty, age, population density;32;18465;28;17.2;23.4;59.4;14.9;2.3;97.4;1.2;0.6;0.1;1.2
St. Francis;Arkansas;AR;52;frontier status, population size, poverty, age, population density;40;27902;44;25.2;28.3;60.2;9.9;1.6;48.2;50.5;0.3;0.7;5.2
Saline;Arkansas;AR;45;frontier status, population size, poverty, age, population density;38;91188;126;9.4;24.2;62.8;12;1.1;94.8;3.2;0.5;0.7;2
Scott;Arkansas;AR;70;frontier status, population size, poverty, age, population density;37;11150;12;18.9;26.1;58.8;13.4;1.8;95.4;0.5;1.2;2;7
Searcy;Arkansas;AR;70;frontier status, population size, poverty, age, population density;37;7969;12;21.8;20.9;59.3;16.9;2.9;98;0.2;0.8;0.2;1.1
Sebastian;Arkansas;AR;6;frontier status, population size, poverty;53;118750;221;15.4;26.8;60.4;11.1;1.7;85.8;6.3;1.6;3.8;9.6
Sevier;Arkansas;AR;76;frontier status, population size, poverty, age, population density;38;16456;29;17.8;29.7;57.7;11;1.5;92.4;4.4;2;0.3;26.5
Sharp;Arkansas;AR;72;frontier status, population size, poverty, age, population density;32;17397;29;19.9;21.4;55.8;19.8;3;97;0.9;0.6;0.2;1.4
Stone;Arkansas;AR;70;frontier status, population size, poverty, age, population density;37;11716;19;18.4;21.6;58.6;17.9;1.9;97.7;0.3;0.4;0;1.1
Union;Arkansas;AR;36;frontier status, population size, poverty, age;23;44186;43;17.7;25.4;58.8;13.4;2.4;65.3;33;0.2;0.6;1.7
Van Buren;Arkansas;AR;71;frontier status, population size, poverty, age, population density;33;16529;23;17;21;55.9;19.9;3.2;97.1;0.5;0.8;0.3;1.4
